leverage,sharpe_ratio,annual_return,annual_volatility,max_drawdown,sortino_ratio,calmar_ratio,sharpe_ok,vol_ok,mdd_ok,all_constraints_met
1.0,3.08,0.339,0.11,-0.058,4.4968,5.844827586206897,True,True,True,True
1.05,3.08,0.35595000000000004,0.1155,-0.061497173078315266,4.4968,5.788070933711143,True,True,True,True
1.1,3.08,0.37290000000000006,0.12100000000000001,-0.06502782312015494,4.4968,5.734468449158683,True,True,True,True
1.1500000000000001,3.08,0.3898500000000001,0.12650000000000003,-0.06859072636408427,4.4968,5.683712954585866,True,True,True,True
1.2000000000000002,3.08,0.4068000000000001,0.13200000000000003,-0.07218475533783072,4.4968,5.6355389458084595,True,True,False,False
1.2500000000000002,3.08,0.4237500000000001,0.13750000000000004,-0.07580886756286732,4.4968,5.589715472910734,True,True,False,False
1.3000000000000003,3.08,0.44070000000000015,0.14300000000000004,-0.07946209598545849,4.4968,5.546040467906208,True,True,False,False
1.3500000000000003,3.08,0.4576500000000001,0.14850000000000005,-0.0831435408136434,4.4968,5.504336181998425,True,True,False,False
1.4000000000000004,3.08,0.47460000000000013,0.15400000000000005,-0.08685236250887562,4.4968,5.464445483005713,True,False,False,False
1.4500000000000004,3.08,0.49155000000000015,0.15950000000000006,-0.09058777573336974,4.4968,5.426228826357289,True,False,False,False
1.5000000000000004,3.08,0.5085000000000002,0.16500000000000006,-0.09434904409419981,4.4968,5.389561758488029,True,False,False,False
